id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
2695,0.02100000,0.00006808,0.00032730,0.000327307692308,srd,2,0,2,0.01253192,164,163,4787
2696,0.02115200,0.00008973,0.00063632,0.000636382978723,srd,1,0,2,0.02875827,166,166,6300
2697,0.01520000,0.00004005,0.00028404,0.000284042553191,srd,1,0,2,0.01475995,168,168,2813
2698,0.07773700,0.00002332,0.00016539,0.000165390070922,srd,1,0,2,0.58109155,168,168,1638
2699,0.00861400,0.00002701,0.00019153,0.000191560283688,srd,1,0,2,0.09135899,174,174,1897
2700,0.01465300,0.00003915,0.00027762,0.000277659574468,srd,1,0,2,0.80030785,177,177,2749
2701,0.01310000,0.00003172,0.00010071,0.000101341853035,bnb,4,0,1,,178,174,29
2702,0.03004500,0.00004211,0.00011003,0.000110524934383,bnb,5,0,1,,174,169,348
2703,0.02266400,0.00002553,0.00018105,0.000181063829787,srd,1,0,2,0.32731047,169,169,1794
2704,0.01277700,0.00004031,0.00016091,0.000164530612245,bnb,3,0,1,,170,167,1315
2705,0.01157800,0.00002544,0.00018036,0.000180425531915,srd,1,0,2,0.02737257,167,167,1787
2706,0.02500000,0.00002112,0.00014973,0.000149787234043,srd,1,0,2,0.47497888,167,167,1484
2707,0.00050000,0.00001976,0.00009499,0.000095000,knapsack,2,0,2,0.00008024,167,166,907
2708,0.04000000,0.00006073,0.00006028,0.0000613434343434,bnb,14,0,1,,166,152,-3701
2709,0.01210000,0.00001870,0.00013256,0.000132624113475,srd,1,0,2,0.02243230,152,152,1313
2710,0.02210000,0.00002857,0.00020259,0.000202624113475,srd,1,0,2,0.04984809,152,152,2007
2711,0.01378300,0.00002867,0.00020332,0.000203333333333,srd,1,0,2,0.00094828,154,154,2014
2712,2.00010000,0.00005467,0.00006901,0.0000694663278272,bnb,11,0,1,,154,143,-2303
2713,0.01010000,0.00000986,0.00006991,0.0000699290780142,knapsack,1,0,2,0.00059366,143,143,693
2714,0.01510600,0.00002508,0.00017784,0.000177872340426,srd,1,0,2,0.26146892,145,145,1604
2715,0.15000000,0.00004380,0.00008410,0.0000848837209302,bnb,7,0,1,,145,138,-734
2716,0.01502700,0.00001051,0.00007447,0.0000745390070922,knapsack,1,0,2,0.00086249,138,138,598
2717,0.00037500,0.00000383,0.00002716,0.0000271631205674,knapsack,1,0,2,0.00048366,138,138,130
2718,0.30010000,0.00003750,0.00006322,0.0000642123287671,bnb,8,0,1,,138,130,-1956
2719,0.00519200,0.00002208,0.00015655,0.000156595744681,knapsack,1,0,2,0.00088592,131,131,1411
2720,0.12550000,0.00001235,0.00002000,0.0000239341085271,bnb,7,0,1,,134,127,-3609
2721,0.04010000,0.00002975,0.00011355,0.000121428571429,bnb,3,0,1,,127,124,458
2722,0.01010000,0.00002384,0.00016903,0.000169078014184,srd,1,0,2,0.05166104,124,124,1565
2723,0.19190000,0.00004281,0.00016768,0.000174734693878,bnb,3,0,1,,133,130,1536
2724,0.01197900,0.00001272,0.00003086,0.0000308737864078,knapsack,5,0,2,0.00001420,132,128,-1714
2725,0.04780400,0.00003592,0.00010909,0.000114760383387,bnb,4,0,1,,129,125,413
2726,0.06933300,0.00002420,0.00017158,0.000171631205674,srd,1,0,2,0.01321064,125,125,1590
2727,0.00310000,0.00000722,0.00005115,0.0000512056737589,knapsack,1,0,2,0.00189278,126,126,398
2728,0.00709000,0.00000895,0.00006346,0.0000634751773050,knapsack,1,0,2,0.00240105,127,127,489
